"filename", "language", "JavaScript", "CSS", "XML", "JavaScript React", "comment", "blank", "total"
"c:\Users\Miles\Desktop\JAVA\web-dev\mygithub-projects\projects\home-page\src\App.css", "CSS", 0, 36, 0, 0, 0, 5, 41
"c:\Users\Miles\Desktop\JAVA\web-dev\mygithub-projects\projects\home-page\src\App.js", "JavaScript", 12, 0, 0, 0, 0, 2, 14
"c:\Users\Miles\Desktop\JAVA\web-dev\mygithub-projects\projects\home-page\src\App.test.js", "JavaScript", 7, 0, 0, 0, 0, 2, 9
"c:\Users\Miles\Desktop\JAVA\web-dev\mygithub-projects\projects\home-page\src\components\Bottom_counter\BottomCounter.css", "CSS", 0, 275, 0, 0, 16, 13, 304
"c:\Users\Miles\Desktop\JAVA\web-dev\mygithub-projects\projects\home-page\src\components\Bottom_counter\BottomCounter.js", "JavaScript", 166, 0, 0, 0, 11, 15, 192
"c:\Users\Miles\Desktop\JAVA\web-dev\mygithub-projects\projects\home-page\src\components\DemoForm\Demo.css", "CSS", 0, 0, 0, 0, 0, 1, 1
"c:\Users\Miles\Desktop\JAVA\web-dev\mygithub-projects\projects\home-page\src\components\DemoForm\Demo.js", "JavaScript", 18, 0, 0, 0, 2, 9, 29
"c:\Users\Miles\Desktop\JAVA\web-dev\mygithub-projects\projects\home-page\src\components\Enquire-now\Enquire_now.css", "CSS", 0, 82, 0, 0, 19, 3, 104
"c:\Users\Miles\Desktop\JAVA\web-dev\mygithub-projects\projects\home-page\src\components\Enquire-now\Enquire_now.js", "JavaScript", 156, 0, 0, 0, 6, 6, 168
"c:\Users\Miles\Desktop\JAVA\web-dev\mygithub-projects\projects\home-page\src\components\Footer\Footer.css", "CSS", 0, 71, 0, 0, 2, 6, 79
"c:\Users\Miles\Desktop\JAVA\web-dev\mygithub-projects\projects\home-page\src\components\Footer\Footer.js", "JavaScript", 170, 0, 0, 0, 0, 4, 174
"c:\Users\Miles\Desktop\JAVA\web-dev\mygithub-projects\projects\home-page\src\components\How_it_works\How_it_Works.css", "CSS", 0, 352, 0, 0, 11, 38, 401
"c:\Users\Miles\Desktop\JAVA\web-dev\mygithub-projects\projects\home-page\src\components\How_it_works\How_it_Works.js", "JavaScript", 318, 0, 0, 0, 0, 8, 326
"c:\Users\Miles\Desktop\JAVA\web-dev\mygithub-projects\projects\home-page\src\components\Navbar\Navbar.css", "CSS", 0, 25, 0, 0, 0, 6, 31
"c:\Users\Miles\Desktop\JAVA\web-dev\mygithub-projects\projects\home-page\src\components\Navbar\Navbar.js", "JavaScript", 73, 0, 0, 0, 55, 5, 133
"c:\Users\Miles\Desktop\JAVA\web-dev\mygithub-projects\projects\home-page\src\components\Section_3\Section_3.css", "CSS", 0, 8, 0, 0, 0, 2, 10
"c:\Users\Miles\Desktop\JAVA\web-dev\mygithub-projects\projects\home-page\src\components\Section_3\Section_3.js", "JavaScript", 43, 0, 0, 0, 27, 15, 85
"c:\Users\Miles\Desktop\JAVA\web-dev\mygithub-projects\projects\home-page\src\components\growth\growth.css", "CSS", 0, 156, 0, 0, 2, 17, 175
"c:\Users\Miles\Desktop\JAVA\web-dev\mygithub-projects\projects\home-page\src\components\growth\growth.js", "JavaScript", 37, 0, 0, 0, 1, 2, 40
"c:\Users\Miles\Desktop\JAVA\web-dev\mygithub-projects\projects\home-page\src\components\home\Home.js", "JavaScript", 20, 0, 0, 0, 0, 5, 25
"c:\Users\Miles\Desktop\JAVA\web-dev\mygithub-projects\projects\home-page\src\components\home\home.css", "CSS", 0, 0, 0, 0, 0, 1, 1
"c:\Users\Miles\Desktop\JAVA\web-dev\mygithub-projects\projects\home-page\src\components\top_counter\TopCounter.css", "CSS", 0, 275, 0, 0, 16, 13, 304
"c:\Users\Miles\Desktop\JAVA\web-dev\mygithub-projects\projects\home-page\src\components\top_counter\TopCounter.js", "JavaScript", 162, 0, 0, 0, 11, 26, 199
"c:\Users\Miles\Desktop\JAVA\web-dev\mygithub-projects\projects\home-page\src\components\video-section\Video.css", "CSS", 0, 175, 0, 0, 35, 9, 219
"c:\Users\Miles\Desktop\JAVA\web-dev\mygithub-projects\projects\home-page\src\components\video-section\Video.js", "JavaScript", 44, 0, 0, 0, 3, 3, 50
