"filename", "language", "TypeScript", "HTML", "CSS", "comment", "blank", "total"
"c:\Users\Miles\Desktop\JAVA\web-dev\mygithub-projects\projects\sprink-meal-app\src\app\about-us\about-us.component.css", "CSS", 0, 0, 32, 0, 1, 33
"c:\Users\Miles\Desktop\JAVA\web-dev\mygithub-projects\projects\sprink-meal-app\src\app\about-us\about-us.component.html", "HTML", 0, 247, 0, 1, 5, 253
"c:\Users\Miles\Desktop\JAVA\web-dev\mygithub-projects\projects\sprink-meal-app\src\app\about-us\about-us.component.spec.ts", "TypeScript", 18, 0, 0, 0, 6, 24
"c:\Users\Miles\Desktop\JAVA\web-dev\mygithub-projects\projects\sprink-meal-app\src\app\about-us\about-us.component.ts", "TypeScript", 52, 0, 0, 0, 6, 58
"c:\Users\Miles\Desktop\JAVA\web-dev\mygithub-projects\projects\sprink-meal-app\src\app\app-routing.module.ts", "TypeScript", 26, 0, 0, 0, 3, 29
"c:\Users\Miles\Desktop\JAVA\web-dev\mygithub-projects\projects\sprink-meal-app\src\app\app.component.css", "CSS", 0, 0, 0, 0, 1, 1
"c:\Users\Miles\Desktop\JAVA\web-dev\mygithub-projects\projects\sprink-meal-app\src\app\app.component.html", "HTML", 0, 1, 0, 0, 1, 2
"c:\Users\Miles\Desktop\JAVA\web-dev\mygithub-projects\projects\sprink-meal-app\src\app\app.component.spec.ts", "TypeScript", 31, 0, 0, 0, 5, 36
"c:\Users\Miles\Desktop\JAVA\web-dev\mygithub-projects\projects\sprink-meal-app\src\app\app.component.ts", "TypeScript", 9, 0, 0, 0, 2, 11
"c:\Users\Miles\Desktop\JAVA\web-dev\mygithub-projects\projects\sprink-meal-app\src\app\app.module.ts", "TypeScript", 42, 0, 0, 0, 3, 45
"c:\Users\Miles\Desktop\JAVA\web-dev\mygithub-projects\projects\sprink-meal-app\src\app\contact-us\contact-us.component.css", "CSS", 0, 0, 0, 0, 1, 1
"c:\Users\Miles\Desktop\JAVA\web-dev\mygithub-projects\projects\sprink-meal-app\src\app\contact-us\contact-us.component.html", "HTML", 0, 139, 0, 58, 5, 202
"c:\Users\Miles\Desktop\JAVA\web-dev\mygithub-projects\projects\sprink-meal-app\src\app\contact-us\contact-us.component.spec.ts", "TypeScript", 18, 0, 0, 0, 6, 24
"c:\Users\Miles\Desktop\JAVA\web-dev\mygithub-projects\projects\sprink-meal-app\src\app\contact-us\contact-us.component.ts", "TypeScript", 34, 0, 0, 1, 5, 40
"c:\Users\Miles\Desktop\JAVA\web-dev\mygithub-projects\projects\sprink-meal-app\src\app\footer\footer.component.css", "CSS", 0, 0, 109, 0, 4, 113
"c:\Users\Miles\Desktop\JAVA\web-dev\mygithub-projects\projects\sprink-meal-app\src\app\footer\footer.component.html", "HTML", 0, 74, 0, 0, 3, 77
